"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Delete exercise","LMS service","Sat Dec 13 01:00:36 UTC 2025","passed","Sat Dec 13 01:00:36 UTC 2025","Delete entity","Exercises","",""
"","21","Create file","LMS service","Sat Dec 13 01:00:37 UTC 2025","passed","Sat Dec 13 01:00:37 UTC 2025","Create entity","Files","",""
"","22","Get exercise","LMS service","Sat Dec 13 01:00:36 UTC 2025","passed","Sat Dec 13 01:00:36 UTC 2025","Get entity","Exercises","",""
"","257","Create file with empty filename","LMS service","Sat Dec 13 01:00:38 UTC 2025","passed","Sat Dec 13 01:00:38 UTC 2025","Validate entity","Files","",""
"","282","Login with correct email and password","LMS service","Sat Dec 13 01:00:32 UTC 2025","passed","Sat Dec 13 01:00:32 UTC 2025","Login","Authentication","",""
"","27","Create course","LMS service","Sat Dec 13 01:00:33 UTC 2025","passed","Sat Dec 13 01:00:33 UTC 2025","Create entity","Courses","",""
"","288","Delete file","LMS service","Sat Dec 13 01:00:39 UTC 2025","passed","Sat Dec 13 01:00:40 UTC 2025","Delete entity","Files","",""
"","544","Create user","LMS service","Sat Dec 13 01:00:40 UTC 2025","passed","Sat Dec 13 01:00:41 UTC 2025","Create entity","Users","",""
"","16","Get file","LMS service","Sat Dec 13 01:00:38 UTC 2025","passed","Sat Dec 13 01:00:38 UTC 2025","Get entity","Files","",""
"","535","Create user","LMS service","Sat Dec 13 01:00:40 UTC 2025","passed","Sat Dec 13 01:00:40 UTC 2025","Create entity","Users","",""
"","284","Create user","LMS service","Sat Dec 13 01:00:40 UTC 2025","passed","Sat Dec 13 01:00:40 UTC 2025","Create entity","Users","",""
"","13","Get user me","LMS service","Sat Dec 13 01:00:41 UTC 2025","passed","Sat Dec 13 01:00:41 UTC 2025","TestUsers","Users","",""
"","22","Create exercise","LMS service","Sat Dec 13 01:00:35 UTC 2025","passed","Sat Dec 13 01:00:35 UTC 2025","Create entity","Exercises","",""
"","20","Get exercises","LMS service","Sat Dec 13 01:00:37 UTC 2025","passed","Sat Dec 13 01:00:37 UTC 2025","Get entities","Exercises","",""
"","28","Get courses","LMS service","Sat Dec 13 01:00:32 UTC 2025","passed","Sat Dec 13 01:00:33 UTC 2025","Get entities","Courses","",""
"","12","Get file with incorrect file id","LMS service","Sat Dec 13 01:00:40 UTC 2025","passed","Sat Dec 13 01:00:40 UTC 2025","Validate entity","Files","",""
"","20","Update exercise","LMS service","Sat Dec 13 01:00:35 UTC 2025","passed","Sat Dec 13 01:00:35 UTC 2025","Update entity","Exercises","",""
"","299","Update course","LMS service","Sat Dec 13 01:00:33 UTC 2025","passed","Sat Dec 13 01:00:33 UTC 2025","Update entity","Courses","",""
"","258","Create file with empty directory","LMS service","Sat Dec 13 01:00:39 UTC 2025","passed","Sat Dec 13 01:00:39 UTC 2025","Validate entity","Files","",""
